|6.6.6
basalt_0_h2o_allmorb_11092020_3.tab                                                                 
           2
T(K)    
   273.14999999999998     
   16.160101010101009     
         100
P(bar)  
   1.0000000000000000     
   1010.0909090909091     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  1194.276       1011.091       3027.381    
  1210.436       1011.091       3025.835    
  1226.596       1011.091       3024.689    
  1242.756       1011.091       3023.491    
  1258.916       1011.091       3022.548    
  1275.076       1011.091       3021.540    
  1291.236       1011.091       3019.954    
  1307.396       1011.091       3018.802    
  1323.557       1011.091       3017.598    
  1339.717       1011.091       3007.681    
  1355.877       1011.091       3006.492    
  1372.037       1011.091       3004.824    
  1388.197       1011.091       3003.783    
  1404.357       1011.091       3002.105    
  1420.517       1011.091       3000.912    
  1436.677       1011.091       2999.550    
  1452.837       1011.091       2998.101    
  1468.997       1011.091       2996.988    
  1485.158       1011.091       2995.464    
  1501.318       1011.091       2993.885    
  1517.478       1011.091       2993.860    
  1533.638       1011.091       2992.333    
  1549.798       1011.091       2990.423    
  1565.958       1011.091       2988.652    
  1582.118       1011.091       2987.198    
  1598.278       1011.091       2985.403    
  1614.438       1011.091       2984.072    
  1630.598       1011.091       2978.320    
  1646.759       1011.091       2970.630    
  1662.919       1011.091       2974.104    
  1679.079       1011.091       2952.519    
  1695.239       1011.091       2957.339    
  1711.399       1011.091       2952.395    
  1727.559       1011.091       2952.276    
  1743.719       1011.091       2949.057    
  1759.879       1011.091       2939.259    
  1776.039       1011.091       2938.645    
  1792.199       1011.091       2936.756    
  1808.360       1011.091       2934.990    
  1824.520       1011.091       2929.949    
  1840.680       1011.091       2926.527    
  1856.840       1011.091       2925.984    
  1873.000       1011.091       2702.293    
  273.1500       2021.182       3323.165    
  289.3101       2021.182       3316.708    
  305.4702       2021.182       3299.304    
  321.6303       2021.182       3322.973    
  337.7904       2021.182       3304.816    
  353.9505       2021.182       3327.000    
  370.1106       2021.182       3324.873    
  386.2707       2021.182       3299.751    
  402.4308       2021.182       3321.905    
  418.5909       2021.182       3311.139    
  434.7510       2021.182       3289.140    
  450.9111       2021.182       3301.997    
  467.0712       2021.182       3140.940    
  483.2313       2021.182       3097.249    
  499.3914       2021.182       3082.870    
  515.5515       2021.182       3081.683    
  531.7116       2021.182       3080.577    
  547.8717       2021.182       3078.983    
  564.0318       2021.182       3078.752    
  580.1919       2021.182       3078.126    
  596.3520       2021.182       3077.925    
  612.5121       2021.182       3077.924    
  628.6722       2021.182       3079.060    
  644.8323       2021.182       3077.367    
  660.9924       2021.182       3077.563    
  677.1525       2021.182       3076.755    
  693.3126       2021.182       3080.525    
  709.4727       2021.182       3076.481    
  725.6328       2021.182       3074.989    
  741.7929       2021.182       3073.928    
  757.9530       2021.182       3072.676    
  774.1131       2021.182       3073.749    
  790.2732       2021.182       3068.501    
  806.4333       2021.182       3068.010    
  822.5934       2021.182       3066.588    
  838.7535       2021.182       3065.437    
  854.9136       2021.182       3064.676    
  871.0737       2021.182       3063.203    
  887.2338       2021.182       3062.650    
  903.3939       2021.182       3062.735    
  919.5540       2021.182       3061.068    
  935.7141       2021.182       3060.630    
  951.8742       2021.182       3059.898    
  968.0343       2021.182       3058.542    
  984.1944       2021.182       3055.776    
  1000.355       2021.182       3054.885    
  1016.515       2021.182       3055.488    
  1032.675       2021.182       3053.240    
  1048.835       2021.182       3053.649    
  1064.995       2021.182       3052.617    
  1081.155       2021.182       3051.325    
  1097.315       2021.182       3049.778    
  1113.475       2021.182       3047.164    
  1129.635       2021.182       3047.894    
  1145.795       2021.182       3038.990    
  1161.956       2021.182       3038.736    
  1178.116       2021.182       3037.817    
  1194.276       2021.182       3036.433    
  1210.436       2021.182       3035.521    
  1226.596       2021.182       3034.595    
  1242.756       2021.182       3033.384    
  1258.916       2021.182       3032.062    
  1275.076       2021.182       3030.822    
  1291.236       2021.182       3028.753    
  1307.396       2021.182       3027.326    
  1323.557       2021.182       3026.590    
  1339.717       2021.182       3025.121    
  1355.877       2021.182       3023.497    
  1372.037       2021.182       3022.049    
  1388.197       2021.182       3020.801    
  1404.357       2021.182       3019.196    
  1420.517       2021.182       3017.880    
  1436.677       2021.182       3016.973    
  1452.837       2021.182       3015.050    
  1468.997       2021.182       3014.463    
  1485.158       2021.182       3013.068    
  1501.318       2021.182       3003.047    
  1517.478       2021.182       3001.483    
  1533.638       2021.182       2999.954    
  1549.798       2021.182       2997.328    
  1565.958       2021.182       2996.710    
  1582.118       2021.182       2995.126    
  1598.278       2021.182       2993.487    
  1614.438       2021.182       2992.090    
  1630.598       2021.182       2990.564    
  1646.759       2021.182       2992.909    
  1662.919       2021.182       2984.233    
  1679.079       2021.182       2971.769    
  1695.239       2021.182       2967.929    
  1711.399       2021.182       2962.315    
  1727.559       2021.182       2961.152    
  1743.719       2021.182       2956.367    
  1759.879       2021.182       2956.812    
  1776.039       2021.182       2951.047    
  1792.199       2021.182       2951.478    
  1808.360       2021.182       2945.238    
  1824.520       2021.182       2945.434    
  1840.680       2021.182       2941.914    
  1856.840       2021.182       2939.801    
  1873.000       2021.182       2936.721    
  273.1500       3031.273       3326.452    
  289.3101       3031.273       3314.323    
  305.4702       3031.273       3325.491    
  321.6303       3031.273       3334.729    
  337.7904       3031.273       3322.882    
  353.9505       3031.273       3309.604    
  370.1106       3031.273       3321.307    
  386.2707       3031.273       3318.498    
  402.4308       3031.273       3299.163    
  418.5909       3031.273       3317.594    
  434.7510       3031.273       3307.087    
  450.9111       3031.273       3312.938    
  467.0712       3031.273       3314.397    
  483.2313       3031.273       3316.509    
  499.3914       3031.273       3316.324    
  515.5515       3031.273       3252.386    
  531.7116       3031.273       3149.559    
  547.8717       3031.273       3104.889    
  564.0318       3031.273       3092.354    
  580.1919       3031.273       3089.674    
  596.3520       3031.273       3087.203    
  612.5121       3031.273       3088.042    
  628.6722       3031.273       3089.147    
  644.8323       3031.273       3088.746    
  660.9924       3031.273       3088.484    
  677.1525       3031.273       3092.225    
  693.3126       3031.273       3090.933    
  709.4727       3031.273       3085.652    
  725.6328       3031.273       3079.549    
  741.7929       3031.273       3078.911    
  757.9530       3031.273       3077.519    
  774.1131       3031.273       3076.823    
  790.2732       3031.273       3080.346    
  806.4333       3031.273       3079.552    
  822.5934       3031.273       3078.117    
  838.7535       3031.273       3076.859    
  854.9136       3031.273       3074.070    
  871.0737       3031.273       3074.044    
  887.2338       3031.273       3072.217    
  903.3939       3031.273       3071.225    
  919.5540       3031.273       3069.454    
  935.7141       3031.273       3070.281    
  951.8742       3031.273       3067.053    
  968.0343       3031.273       3066.066    
  984.1944       3031.273       3064.795    
  1000.355       3031.273       3063.837    
  1016.515       3031.273       3062.152    
  1032.675       3031.273       3060.540    
  1048.835       3031.273       3063.064    
  1064.995       3031.273       3061.109    
  1081.155       3031.273       3059.629    
  1097.315       3031.273       3058.141    
  1113.475       3031.273       3055.037    
  1129.635       3031.273       3052.752    
  1145.795       3031.273       3054.111    
  1161.956       3031.273       3053.259    
  1178.116       3031.273       3051.374    
  1194.276       3031.273       3049.749    
  1210.436       3031.273       3047.981    
  1226.596       3031.273       3044.087    
  1242.756       3031.273       3039.671    
  1258.916       3031.273       3038.618    
  1275.076       3031.273       3037.439    
  1291.236       3031.273       3035.937    
  1307.396       3031.273       3034.613    
  1323.557       3031.273       3033.432    
  1339.717       3031.273       3031.830    
  1355.877       3031.273       3030.566    
  1372.037       3031.273       3029.155    
  1388.197       3031.273       3029.272    
  1404.357       3031.273       3027.095    
  1420.517       3031.273       3024.985    
  1436.677       3031.273       3024.162    
  1452.837       3031.273       3022.229    
  1468.997       3031.273       3021.054    
  1485.158       3031.273       3019.597    
  1501.318       3031.273       3017.777    
  1517.478       3031.273       3016.341    
  1533.638       3031.273       3014.818    
  1549.798       3031.273       3012.655    
  1565.958       3031.273       3012.095    
  1582.118       3031.273       3010.365    
  1598.278       3031.273       3000.309    
  1614.438       3031.273       2998.783    
  1630.598       3031.273       2997.394    
  1646.759       3031.273       2995.543    
  1662.919       3031.273       2995.790    
  1679.079       3031.273       2979.288    
  1695.239       3031.273       2980.717    
  1711.399       3031.273       2976.240    
  1727.559       3031.273       2971.547    
  1743.719       3031.273       2968.153    
  1759.879       3031.273       2964.616    
  1776.039       3031.273       2957.934    
  1792.199       3031.273       2958.481    
  1808.360       3031.273       2952.857    
  1824.520       3031.273       2955.445    
  1840.680       3031.273       2949.040    
  1856.840       3031.273       2948.471    
  1873.000       3031.273       2946.585    
  273.1500       4041.364       3340.256    
  289.3101       4041.364       3342.658    
  305.4702       4041.364       3323.893    
  321.6303       4041.364       3326.345    
  337.7904       4041.364       3316.174    
  353.9505       4041.364       3317.433    
  370.1106       4041.364       3311.572    
  386.2707       4041.364       3337.137    
  402.4308       4041.364       3313.561    
  418.5909       4041.364       3326.200    
  434.7510       4041.364       3326.542    
  450.9111       4041.364       3330.897    
  467.0712       4041.364       3331.542    
  483.2313       4041.364       3326.774    
  499.3914       4041.364       3328.400    
  515.5515       4041.364       3325.405    
  531.7116       4041.364       3322.143    
  547.8717       4041.364       3314.276    
  564.0318       4041.364       3306.307    
  580.1919       4041.364       3308.835    
  596.3520       4041.364       3222.089    
  612.5121       4041.364       3157.898    
  628.6722       4041.364       3105.742    
  644.8323       4041.364       3103.519    
  660.9924       4041.364       3098.720    
  677.1525       4041.364       3098.372    
  693.3126       4041.364       3096.924    
  709.4727       4041.364       3095.785    
  725.6328       4041.364       3094.175    
  741.7929       4041.364       3093.186    
  757.9530       4041.364       3091.780    
  774.1131       4041.364       3090.385    
  790.2732       4041.364       3089.400    
  806.4333       4041.364       3087.971    
  822.5934       4041.364       3087.258    
  838.7535       4041.364       3085.812    
  854.9136       4041.364       3082.474    
  871.0737       4041.364       3081.533    
  887.2338       4041.364       3080.653    
  903.3939       4041.364       3079.525    
  919.5540       4041.364       3079.848    
  935.7141       4041.364       3079.871    
  951.8742       4041.364       3075.614    
  968.0343       4041.364       3074.814    
  984.1944       4041.364       3073.923    
  1000.355       4041.364       3071.905    
  1016.515       4041.364       3072.335    
  1032.675       4041.364       3069.654    
  1048.835       4041.364       3072.553    
  1064.995       4041.364       3070.915    
  1081.155       4041.364       3068.815    
  1097.315       4041.364       3067.651    
  1113.475       4041.364       3064.687    
  1129.635       4041.364       3065.615    
  1145.795       4041.364       3063.089    
  1161.956       4041.364       3057.680    
  1178.116       4041.364       3056.163    
  1194.276       4041.364       3057.229    
  1210.436       4041.364       3056.683    
  1226.596       4041.364       3055.323    
  1242.756       4041.364       3054.246    
  1258.916       4041.364       3053.485    
  1275.076       4041.364       3051.465    
  1291.236       4041.364       3049.651    
  1307.396       4041.364       3048.866    
  1323.557       4041.364       3047.317    
  1339.717       4041.364       3044.205    
  1355.877       4041.364       3039.043    
  1372.037       4041.364       3036.439    
  1388.197       4041.364       3035.036    
  1404.357       4041.364       3033.668    
  1420.517       4041.364       3032.288    
  1436.677       4041.364       3031.418    
  1452.837       4041.364       3029.577    
  1468.997       4041.364       3028.594    
  1485.158       4041.364       3026.149    
  1501.318       4041.364       3025.602    
  1517.478       4041.364       3024.885    
  1533.638       4041.364       3023.420    
  1549.798       4041.364       3021.539    
  1565.958       4041.364       3020.462    
  1582.118       4041.364       3018.470    
  1598.278       4041.364       3016.486    
