|6.6.6
basalt_0_h2o_yak_hp11ver_11092020_3.tab                                                             
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  1048.485       1898.990       2986.384    
  1061.616       1898.990       2985.872    
  1074.747       1898.990       2985.470    
  1087.879       1898.990       2980.681    
  1101.010       1898.990       2980.167    
  1114.141       1898.990       2979.065    
  1127.273       1898.990       2977.746    
  1140.404       1898.990       2980.832    
  1153.535       1898.990       2977.132    
  1166.667       1898.990       2977.505    
  1179.798       1898.990       2974.231    
  1192.929       1898.990       2972.367    
  1206.061       1898.990       2970.517    
  1219.192       1898.990       2968.942    
  1232.323       1898.990       2970.195    
  1245.455       1898.990       2967.509    
  1258.586       1898.990       2966.144    
  1271.717       1898.990       2964.750    
  1284.848       1898.990       2963.190    
  1297.980       1898.990       2963.079    
  1311.111       1898.990       2961.137    
  1324.242       1898.990       2959.936    
  1337.374       1898.990       2959.069    
  1350.505       1898.990       2957.660    
  1363.636       1898.990       2956.722    
  1376.768       1898.990       2955.230    
  1389.899       1898.990       2953.990    
  1403.030       1898.990       2952.748    
  1416.162       1898.990       2952.534    
  1429.293       1898.990       2951.121    
  1442.424       1898.990       2949.515    
  1455.556       1898.990       2948.194    
  1468.687       1898.990       2947.094    
  1481.818       1898.990       2946.779    
  1494.949       1898.990       2945.423    
  1508.081       1898.990       2943.986    
  1521.212       1898.990       2943.573    
  1534.343       1898.990       2941.306    
  1547.475       1898.990       2940.256    
  1560.606       1898.990       2939.789    
  1573.737       1898.990       2938.902    
  1586.869       1898.990       2937.817    
  1600.000       1898.990       2941.079    
  300.0000       2797.980       3334.637    
  313.1313       2797.980       3333.551    
  326.2626       2797.980       3324.031    
  339.3939       2797.980       3320.877    
  352.5253       2797.980       3319.736    
  365.6566       2797.980       3314.670    
  378.7879       2797.980       3316.467    
  391.9192       2797.980       3313.159    
  405.0505       2797.980       3263.603    
  418.1818       2797.980       3215.556    
  431.3131       2797.980       3220.734    
  444.4444       2797.980       3216.816    
  457.5758       2797.980       3215.771    
