|6.6.6
basalt_sat_yak_hp11ver_10302020_2.tab                                                               
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  628.2828       48646.46       3410.225    
  641.4141       48646.46       3418.057    
  654.5455       48646.46       3419.829    
  667.6768       48646.46       3423.991    
  680.8081       48646.46       3424.946    
  693.9394       48646.46       3443.771    
  707.0707       48646.46       3449.158    
  720.2020       48646.46       3440.287    
  733.3333       48646.46       3464.098    
  746.4646       48646.46       3456.300    
  759.5960       48646.46       3468.156    
  772.7273       48646.46       3480.985    
  785.8586       48646.46       3482.949    
  798.9899       48646.46       3481.868    
  812.1212       48646.46       3480.701    
  825.2525       48646.46       3479.297    
  838.3838       48646.46       3478.231    
  851.5152       48646.46       3476.754    
  864.6465       48646.46       3475.381    
  877.7778       48646.46       3479.780    
  890.9091       48646.46       3499.800    
  904.0404       48646.46       3509.295    
  917.1717       48646.46       3509.399    
  930.3030       48646.46       3511.443    
  943.4343       48646.46       3509.258    
  956.5657       48646.46       3509.757    
  969.6970       48646.46       3509.756    
  982.8283       48646.46       3514.024    
  995.9596       48646.46       3511.803    
  1009.091       48646.46       3521.383    
  1022.222       48646.46       3549.517    
  1035.354       48646.46       3554.491    
  1048.485       48646.46       3551.225    
  1061.616       48646.46       3549.868    
  1074.747       48646.46       3549.033    
  1087.879       48646.46       3547.289    
  1101.010       48646.46       3545.387    
  1114.141       48646.46       3542.921    
  1127.273       48646.46       3542.194    
  1140.404       48646.46       3540.853    
  1153.535       48646.46       3538.994    
  1166.667       48646.46       3536.046    
  1179.798       48646.46       3534.067    
  1192.929       48646.46       3532.793    
  1206.061       48646.46       3531.245    
  1219.192       48646.46       3529.298    
  1232.323       48646.46       3526.460    
  1245.455       48646.46       3524.354    
  1258.586       48646.46       3523.132    
  1271.717       48646.46       3521.444    
  1284.848       48646.46       3519.404    
  1297.980       48646.46       3516.664    
  1311.111       48646.46       3514.505    
  1324.242       48646.46       3513.056    
  1337.374       48646.46       3510.783    
  1350.505       48646.46       3508.815    
  1363.636       48646.46       3506.710    
  1376.768       48646.46       3504.487    
  1389.899       48646.46       3502.896    
  1403.030       48646.46       3501.126    
  1416.162       48646.46       3499.185    
  1429.293       48646.46       3497.111    
  1442.424       48646.46       3496.035    
  1455.556       48646.46       3494.973    
  1468.687       48646.46       3492.867    
  1481.818       48646.46       3491.619    
  1494.949       48646.46       3490.745    
  1508.081       48646.46       3488.376    
  1521.212       48646.46       3486.924    
  1534.343       48646.46       3484.423    
  1547.475       48646.46       3482.982    
  1560.606       48646.46       3481.642    
  1573.737       48646.46       3483.214    
  1586.869       48646.46       3482.018    
  1600.000       48646.46       3480.313    
  300.0000       49545.45       3297.506    
  313.1313       49545.45       3299.366    
  326.2626       49545.45       3311.821    
  339.3939       49545.45       3377.569    
  352.5253       49545.45       3378.383    
  365.6566       49545.45       3380.871    
  378.7879       49545.45       3380.335    
  391.9192       49545.45       3379.567    
  405.0505       49545.45       3380.022    
  418.1818       49545.45       3378.262    
  431.3131       49545.45       3377.102    
  444.4444       49545.45       3376.115    
  457.5758       49545.45       3375.080    
  470.7071       49545.45       3374.053    
  483.8384       49545.45       3373.043    
  496.9697       49545.45       3371.954    
  510.1010       49545.45       3372.169    
  523.2323       49545.45       3370.718    
  536.3636       49545.45       3370.976    
  549.4949       49545.45       3370.577    
  562.6263       49545.45       3371.733    
  575.7576       49545.45       3376.335    
  588.8889       49545.45       3380.005    
  602.0202       49545.45       3381.286    
  615.1515       49545.45       3408.405    
  628.2828       49545.45       3414.788    
  641.4141       49545.45       3422.702    
  654.5455       49545.45       3423.318    
  667.6768       49545.45       3426.052    
  680.8081       49545.45       3426.257    
  693.9394       49545.45       3441.043    
  707.0707       49545.45       3451.043    
  720.2020       49545.45       3434.722    
  733.3333       49545.45       3453.562    
  746.4646       49545.45       3461.221    
  759.5960       49545.45       3477.997    
  772.7273       49545.45       3486.975    
  785.8586       49545.45       3485.742    
  798.9899       49545.45       3484.580    
  812.1212       49545.45       3483.363    
  825.2525       49545.45       3481.911    
  838.3838       49545.45       3480.737    
  851.5152       49545.45       3479.275    
  864.6465       49545.45       3477.980    
  877.7778       49545.45       3481.722    
  890.9091       49545.45       3501.940    
  904.0404       49545.45       3511.499    
  917.1717       49545.45       3510.188    
  930.3030       49545.45       3511.319    
  943.4343       49545.45       3511.083    
  956.5657       49545.45       3512.390    
  969.6970       49545.45       3511.254    
  982.8283       49545.45       3512.381    
  995.9596       49545.45       3516.625    
  1009.091       49545.45       3515.841    
  1022.222       49545.45       3540.333    
  1035.354       49545.45       3558.728    
  1048.485       49545.45       3555.713    
  1061.616       49545.45       3554.370    
  1074.747       49545.45       3551.715    
  1087.879       49545.45       3549.944    
  1101.010       49545.45       3547.250    
  1114.141       49545.45       3545.779    
  1127.273       49545.45       3544.066    
  1140.404       49545.45       3542.530    
  1153.535       49545.45       3540.641    
  1166.667       49545.45       3538.165    
  1179.798       49545.45       3536.562    
  1192.929       49545.45       3534.804    
  1206.061       49545.45       3533.022    
  1219.192       49545.45       3531.053    
  1232.323       49545.45       3528.748    
  1245.455       49545.45       3527.000    
  1258.586       49545.45       3525.280    
  1271.717       49545.45       3523.356    
  1284.848       49545.45       3521.319    
  1297.980       49545.45       3519.136    
  1311.111       49545.45       3517.286    
  1324.242       49545.45       3516.324    
  1337.374       49545.45       3513.546    
  1350.505       49545.45       3511.494    
  1363.636       49545.45       3509.751    
  1376.768       49545.45       3507.225    
  1389.899       49545.45       3506.025    
  1403.030       49545.45       3503.674    
  1416.162       49545.45       3502.466    
  1429.293       49545.45       3500.841    
  1442.424       49545.45       3499.158    
  1455.556       49545.45       3497.375    
  1468.687       49545.45       3496.370    
  1481.818       49545.45       3494.394    
  1494.949       49545.45       3492.752    
  1508.081       49545.45       3491.131    
  1521.212       49545.45       3490.439    
  1534.343       49545.45       3487.332    
  1547.475       49545.45       3486.609    
  1560.606       49545.45       3486.849    
  1573.737       49545.45       3486.468    
  1586.869       49545.45       3484.862    
  1600.000       49545.45       3482.946    
  300.0000       50444.44       3300.038    
  313.1313       50444.44       3302.062    
  326.2626       50444.44       3314.417    
  339.3939       50444.44       3381.803    
  352.5253       50444.44       3383.275    
  365.6566       50444.44       3385.038    
  378.7879       50444.44       3384.281    
  391.9192       50444.44       3382.977    
  405.0505       50444.44       3382.861    
  418.1818       50444.44       3382.156    
  431.3131       50444.44       3380.925    
  444.4444       50444.44       3379.940    
  457.5758       50444.44       3378.790    
  470.7071       50444.44       3377.691    
  483.8384       50444.44       3376.684    
  496.9697       50444.44       3375.533    
  510.1010       50444.44       3374.736    
  523.2323       50444.44       3374.267    
  536.3636       50444.44       3374.636    
  549.4949       50444.44       3373.151    
  562.6263       50444.44       3373.992    
  575.7576       50444.44       3379.976    
  588.8889       50444.44       3382.159    
  602.0202       50444.44       3385.020    
  615.1515       50444.44       3410.636    
  628.2828       50444.44       3420.217    
  641.4141       50444.44       3426.632    
  654.5455       50444.44       3423.892    
  667.6768       50444.44       3429.332    
  680.8081       50444.44       3433.395    
  693.9394       50444.44       3454.918    
  707.0707       50444.44       3455.848    
  720.2020       50444.44       3450.540    
  733.3333       50444.44       3459.610    
  746.4646       50444.44       3467.118    
  759.5960       50444.44       3479.324    
  772.7273       50444.44       3489.457    
  785.8586       50444.44       3487.967    
  798.9899       50444.44       3486.944    
  812.1212       50444.44       3485.834    
  825.2525       50444.44       3484.309    
  838.3838       50444.44       3483.205    
  851.5152       50444.44       3481.845    
  864.6465       50444.44       3480.745    
  877.7778       50444.44       3473.339    
  890.9091       50444.44       3501.514    
  904.0404       50444.44       3513.481    
  917.1717       50444.44       3511.546    
  930.3030       50444.44       3514.163    
  943.4343       50444.44       3511.999    
  956.5657       50444.44       3513.033    
  969.6970       50444.44       3511.207    
  982.8283       50444.44       3515.812    
  995.9596       50444.44       3515.486    
  1009.091       50444.44       3517.860    
  1022.222       50444.44       3530.793    
  1035.354       50444.44       3558.181    
  1048.485       50444.44       3558.809    
  1061.616       50444.44       3556.052    
  1074.747       50444.44       3555.672    
  1087.879       50444.44       3553.574    
  1101.010       50444.44       3551.442    
  1114.141       50444.44       3549.224    
  1127.273       50444.44       3548.449    
  1140.404       50444.44       3546.601    
  1153.535       50444.44       3544.271    
