|6.6.6
basalt_sat_yak_hp11ver_10302020_3.tab                                                               
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         H2O,wt%       
  1022.222       1898.990      0.1905676    
  1035.354       1898.990      0.1905676    
  1048.485       1898.990      0.1447524    
  1061.616       1898.990      0.1035764    
  1074.747       1898.990      0.1002749    
  1087.879       1898.990      0.8768182E-01
  1101.010       1898.990      0.3345493E-01
  1114.141       1898.990      0.2584019E-01
  1127.273       1898.990       0.000000    
  1140.404       1898.990       0.000000    
  1153.535       1898.990       0.000000    
  1166.667       1898.990       0.000000    
  1179.798       1898.990       0.000000    
  1192.929       1898.990       0.000000    
  1206.061       1898.990       0.000000    
  1219.192       1898.990       0.000000    
  1232.323       1898.990       0.000000    
  1245.455       1898.990       0.000000    
  1258.586       1898.990       0.000000    
  1271.717       1898.990       0.000000    
  1284.848       1898.990       0.000000    
  1297.980       1898.990       0.000000    
  1311.111       1898.990       0.000000    
  1324.242       1898.990       0.000000    
  1337.374       1898.990       0.000000    
  1350.505       1898.990       0.000000    
  1363.636       1898.990       0.000000    
  1376.768       1898.990       0.000000    
  1389.899       1898.990       0.000000    
  1403.030       1898.990       0.000000    
  1416.162       1898.990       0.000000    
  1429.293       1898.990       0.000000    
  1442.424       1898.990       0.000000    
  1455.556       1898.990       0.000000    
  1468.687       1898.990       0.000000    
  1481.818       1898.990       0.000000    
  1494.949       1898.990       0.000000    
  1508.081       1898.990       0.000000    
  1521.212       1898.990       0.000000    
  1534.343       1898.990       0.000000    
  1547.475       1898.990       0.000000    
  1560.606       1898.990       0.000000    
  1573.737       1898.990       0.000000    
  1586.869       1898.990       0.000000    
  1600.000       1898.990       0.000000    
  300.0000       2797.980       6.758264    
  313.1313       2797.980       6.079953    
  326.2626       2797.980       5.726693    
  339.3939       2797.980       5.729841    
  352.5253       2797.980       5.738159    
  365.6566       2797.980       5.738099    
  378.7879       2797.980       5.465209    
  391.9192       2797.980       5.342777    
  405.0505       2797.980       5.015598    
  418.1818       2797.980       5.175866    
  431.3131       2797.980       5.194084    
  444.4444       2797.980       5.198941    
  457.5758       2797.980       4.183929    
  470.7071       2797.980       4.097089    
  483.8384       2797.980       4.078396    
  496.9697       2797.980       4.042768    
  510.1010       2797.980       3.888388    
  523.2323       2797.980       3.794714    
  536.3636       2797.980       3.839773    
  549.4949       2797.980       3.801865    
  562.6263       2797.980       3.747912    
  575.7576       2797.980       3.745171    
  588.8889       2797.980       3.740636    
  602.0202       2797.980       3.737434    
  615.1515       2797.980       3.733415    
  628.2828       2797.980       3.728242    
  641.4141       2797.980       3.725381    
  654.5455       2797.980       3.721722    
  667.6768       2797.980       3.716494    
  680.8081       2797.980       3.707370    
  693.9394       2797.980       3.707936    
  707.0707       2797.980       3.639147    
  720.2020       2797.980       3.598312    
  733.3333       2797.980       3.464255    
  746.4646       2797.980       3.397547    
  759.5960       2797.980       3.310329    
  772.7273       2797.980       3.158098    
  785.8586       2797.980       2.745866    
  798.9899       2797.980       2.402914    
  812.1212       2797.980       2.391425    
  825.2525       2797.980       2.291988    
  838.3838       2797.980       1.771271    
  851.5152       2797.980       1.725344    
  864.6465       2797.980       1.719376    
  877.7778       2797.980       1.661449    
  890.9091       2797.980       1.661449    
  904.0404       2797.980       1.611361    
  917.1717       2797.980       1.554886    
  930.3030       2797.980      0.9275626    
  943.4343       2797.980      0.3665489    
  956.5657       2797.980      0.2316731    
  969.6970       2797.980      0.2205799    
  982.8283       2797.980      0.2143714    
  995.9596       2797.980      0.2117815    
  1009.091       2797.980      0.2053716    
  1022.222       2797.980      0.1972295    
  1035.354       2797.980      0.1907114    
  1048.485       2797.980      0.1676180    
  1061.616       2797.980      0.1248584    
  1074.747       2797.980      0.1357550    
  1087.879       2797.980      0.1255807    
  1101.010       2797.980      0.1017930    
  1114.141       2797.980      0.7947943E-01
  1127.273       2797.980      0.5880596E-01
  1140.404       2797.980      0.2438210E-01
  1153.535       2797.980      0.6304651E-02
  1166.667       2797.980       0.000000    
  1179.798       2797.980       0.000000    
  1192.929       2797.980       0.000000    
  1206.061       2797.980       0.000000    
  1219.192       2797.980       0.000000    
  1232.323       2797.980       0.000000    
  1245.455       2797.980       0.000000    
  1258.586       2797.980       0.000000    
  1271.717       2797.980       0.000000    
  1284.848       2797.980       0.000000    
  1297.980       2797.980       0.000000    
  1311.111       2797.980       0.000000    
  1324.242       2797.980       0.000000    
  1337.374       2797.980       0.000000    
  1350.505       2797.980       0.000000    
  1363.636       2797.980       0.000000    
  1376.768       2797.980       0.000000    
  1389.899       2797.980       0.000000    
  1403.030       2797.980       0.000000    
  1416.162       2797.980       0.000000    
  1429.293       2797.980       0.000000    
  1442.424       2797.980       0.000000    
  1455.556       2797.980       0.000000    
  1468.687       2797.980       0.000000    
  1481.818       2797.980       0.000000    
  1494.949       2797.980       0.000000    
  1508.081       2797.980       0.000000    
  1521.212       2797.980       0.000000    
  1534.343       2797.980       0.000000    
  1547.475       2797.980       0.000000    
  1560.606       2797.980       0.000000    
  1573.737       2797.980       0.000000    
  1586.869       2797.980       0.000000    
  1600.000       2797.980       0.000000    
  300.0000       3696.970       6.635621    
  313.1313       3696.970       6.151201    
  326.2626       3696.970       6.103347    
  339.3939       3696.970       5.945778    
  352.5253       3696.970       5.728671    
  365.6566       3696.970       5.735314    
  378.7879       3696.970       5.736884    
  391.9192       3696.970       5.728910    
  405.0505       3696.970       5.729838    
  418.1818       3696.970       5.733610    
  431.3131       3696.970       5.683017    
  444.4444       3696.970       5.542982    
  457.5758       3696.970       4.724469    
  470.7071       3696.970       4.131151    
  483.8384       3696.970       3.980970    
  496.9697       3696.970       3.847459    
  510.1010       3696.970       3.938067    
  523.2323       3696.970       3.787475    
  536.3636       3696.970       3.747330    
  549.4949       3696.970       3.763372    
  562.6263       3696.970       3.758012    
  575.7576       3696.970       3.742819    
  588.8889       3696.970       3.739473    
  602.0202       3696.970       3.735707    
  615.1515       3696.970       3.732857    
  628.2828       3696.970       3.729664    
  641.4141       3696.970       3.726539    
  654.5455       3696.970       3.721539    
  667.6768       3696.970       3.717058    
  680.8081       3696.970       3.707270    
  693.9394       3696.970       3.704272    
  707.0707       3696.970       3.693476    
  720.2020       3696.970       3.669948    
  733.3333       3696.970       3.585862    
  746.4646       3696.970       3.493720    
  759.5960       3696.970       3.437354    
  772.7273       3696.970       3.336448    
  785.8586       3696.970       3.248132    
  798.9899       3696.970       2.582745    
  812.1212       3696.970       2.569264    
  825.2525       3696.970       2.385204    
  838.3838       3696.970       2.366107    
  851.5152       3696.970       2.250494    
  864.6465       3696.970       1.733813    
  877.7778       3696.970       1.688487    
  890.9091       3696.970       1.661449    
  904.0404       3696.970       1.611361    
  917.1717       3696.970       1.611361    
  930.3030       3696.970       1.332695    
  943.4343       3696.970      0.8391772    
  956.5657       3696.970                NaN
  969.6970       3696.970      0.2463996    
  982.8283       3696.970      0.2230891    
  995.9596       3696.970      0.2174851    
  1009.091       3696.970      0.2125969    
  1022.222       3696.970      0.2074770    
  1035.354       3696.970      0.1957680    
  1048.485       3696.970      0.1748001    
  1061.616       3696.970      0.1470641    
  1074.747       3696.970      0.1400817    
  1087.879       3696.970      0.1241996    
  1101.010       3696.970      0.1075107    
  1114.141       3696.970      0.9831105E-01
  1127.273       3696.970      0.8581087E-01
  1140.404       3696.970      0.8546658E-01
  1153.535       3696.970      0.4964870E-01
  1166.667       3696.970      0.2506088E-01
  1179.798       3696.970      0.1086272E-02
  1192.929       3696.970       0.000000    
