|6.6.6
perid_DMM_sat_hp11ver_10262020_4.tab                                                                
           2
T(K)    
   273.14999999999998     
   16.160101010101009     
         100
P(bar)  
   1.0000000000000000     
   1010.0909090909091     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  1194.276       1011.091       3195.589    
  1210.436       1011.091       3194.020    
  1226.596       1011.091       3192.425    
  1242.756       1011.091       3190.761    
  1258.916       1011.091       3189.171    
  1275.076       1011.091       3187.539    
  1291.236       1011.091       3186.137    
  1307.396       1011.091       3184.297    
  1323.557       1011.091       3183.048    
  1339.717       1011.091       3180.998    
  1355.877       1011.091       3179.387    
  1372.037       1011.091       3177.628    
  1388.197       1011.091       3175.969    
  1404.357       1011.091       3174.332    
  1420.517       1011.091       3173.073    
  1436.677       1011.091       3170.927    
  1452.837       1011.091       3169.127    
  1468.997       1011.091       3167.481    
  1485.158       1011.091       3165.744    
  1501.318       1011.091       3164.242    
  1517.478       1011.091       3162.232    
  1533.638       1011.091       3160.499    
  1549.798       1011.091       3158.693    
  1565.958       1011.091       3157.587    
  1582.118       1011.091       3154.864    
  1598.278       1011.091       3153.104    
  1614.438       1011.091       3151.521    
  1630.598       1011.091       3149.397    
  1646.759       1011.091       3147.494    
  1662.919       1011.091       3145.588    
  1679.079       1011.091       3143.647    
  1695.239       1011.091       3141.804    
  1711.399       1011.091       3140.116    
  1727.559       1011.091       3137.066    
  1743.719       1011.091       3135.298    
  1759.879       1011.091       3133.019    
  1776.039       1011.091       3132.289    
  1792.199       1011.091       3075.272    
  1808.360       1011.091       3073.700    
  1824.520       1011.091       3071.877    
  1840.680       1011.091       3070.054    
  1856.840       1011.091       3067.764    
  1873.000       1011.091       3057.256    
  273.1500       2021.182       2726.291    
  289.3101       2021.182       2698.142    
  305.4702       2021.182       2738.929    
  321.6303       2021.182       2738.384    
  337.7904       2021.182       2734.193    
  353.9505       2021.182       2735.374    
  370.1106       2021.182       2733.896    
  386.2707       2021.182       2713.743    
  402.4308       2021.182       2726.577    
  418.5909       2021.182       2722.599    
  434.7510       2021.182       2723.194    
  450.9111       2021.182       2723.195    
  467.0712       2021.182       2723.198    
  483.2313       2021.182       2740.031    
  499.3914       2021.182       2739.518    
  515.5515       2021.182       2726.373    
  531.7116       2021.182       2746.596    
  547.8717       2021.182       2744.976    
  564.0318       2021.182       2756.704    
  580.1919       2021.182       2757.404    
  596.3520       2021.182       2743.710    
