|6.6.6
gabbro_0h2o_11112020_2.tab                                                                          
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  1048.485       1898.990       2923.576    
  1061.616       1898.990       2922.526    
  1074.747       1898.990       2922.939    
  1087.879       1898.990       2921.765    
  1101.010       1898.990       2919.402    
  1114.141       1898.990       2918.500    
  1127.273       1898.990       2917.477    
  1140.404       1898.990       2917.989    
  1153.535       1898.990       2916.845    
  1166.667       1898.990       2914.635    
  1179.798       1898.990       2913.719    
  1192.929       1898.990       2912.654    
  1206.061       1898.990       2913.133    
  1219.192       1898.990       2911.887    
  1232.323       1898.990       2909.794    
  1245.455       1898.990       2908.512    
  1258.586       1898.990       2906.801    
  1271.717       1898.990       2906.025    
  1284.848       1898.990       2906.745    
  1297.980       1898.990       2904.199    
  1311.111       1898.990       2903.830    
  1324.242       1898.990       2902.482    
  1337.374       1898.990       2902.759    
  1350.505       1898.990       2901.531    
  1363.636       1898.990       2900.634    
  1376.768       1898.990       2899.142    
  1389.899       1898.990       2896.753    
  1403.030       1898.990       2895.910    
  1416.162       1898.990       2894.564    
  1429.293       1898.990       2893.685    
  1442.424       1898.990       2893.094    
  1455.556       1898.990       2891.010    
  1468.687       1898.990       2890.200    
  1481.818       1898.990       2890.003    
  1494.949       1898.990       2889.224    
  1508.081       1898.990       2888.013    
  1521.212       1898.990       2886.526    
  1534.343       1898.990       2884.672    
  1547.475       1898.990       2884.378    
  1560.606       1898.990       2883.524    
  1573.737       1898.990       2882.307    
  1586.869       1898.990       2880.104    
  1600.000       1898.990       2879.129    
  300.0000       2797.980       3242.192    
  313.1313       2797.980       3237.756    
  326.2626       2797.980       3237.381    
  339.3939       2797.980       3235.483    
  352.5253       2797.980       3232.730    
  365.6566       2797.980       3232.482    
  378.7879       2797.980       3224.111    
  391.9192       2797.980       3220.349    
  405.0505       2797.980       3216.228    
  418.1818       2797.980       3183.604    
  431.3131       2797.980       3190.217    
  444.4444       2797.980       3188.263    
  457.5758       2797.980       3181.744    
  470.7071       2797.980       3178.785    
  483.8384       2797.980       3181.383    
  496.9697       2797.980       3178.986    
  510.1010       2797.980       3175.966    
  523.2323       2797.980       3167.557    
  536.3636       2797.980       3166.702    
  549.4949       2797.980       3167.279    
  562.6263       2797.980       3033.941    
  575.7576       2797.980       2995.589    
  588.8889       2797.980       2995.430    
  602.0202       2797.980       2994.149    
  615.1515       2797.980       2994.019    
  628.2828       2797.980       2992.511    
  641.4141       2797.980       2992.776    
  654.5455       2797.980       2973.754    
  667.6768       2797.980       2969.576    
  680.8081       2797.980       2971.580    
  693.9394       2797.980       2967.315    
  707.0707       2797.980       2967.554    
  720.2020       2797.980       2960.581    
  733.3333       2797.980       2958.616    
  746.4646       2797.980       2957.127    
  759.5960       2797.980       2956.017    
  772.7273       2797.980       2954.900    
  785.8586       2797.980       2953.279    
  798.9899       2797.980       2955.213    
  812.1212       2797.980       2954.012    
  825.2525       2797.980       2952.910    
  838.3838       2797.980       2951.699    
  851.5152       2797.980       2950.591    
  864.6465       2797.980       2949.331    
  877.7778       2797.980       2948.089    
  890.9091       2797.980       2944.262    
  904.0404       2797.980       2942.154    
  917.1717       2797.980       2941.877    
  930.3030       2797.980       2941.369    
  943.4343       2797.980       2939.163    
  956.5657       2797.980       2937.764    
  969.6970       2797.980       2937.084    
  982.8283       2797.980       2936.420    
  995.9596       2797.980       2935.850    
  1009.091       2797.980       2934.914    
  1022.222       2797.980       2932.845    
  1035.354       2797.980       2931.804    
  1048.485       2797.980       2931.258    
  1061.616       2797.980       2930.958    
  1074.747       2797.980       2929.806    
  1087.879       2797.980       2927.863    
  1101.010       2797.980       2926.664    
  1114.141       2797.980       2926.146    
  1127.273       2797.980       2925.104    
  1140.404       2797.980       2924.707    
  1153.535       2797.980       2922.847    
  1166.667       2797.980       2921.198    
  1179.798       2797.980       2921.553    
  1192.929       2797.980       2919.951    
  1206.061       2797.980       2919.567    
  1219.192       2797.980       2917.701    
  1232.323       2797.980       2916.668    
  1245.455       2797.980       2916.810    
  1258.586       2797.980       2915.013    
  1271.717       2797.980       2912.755    
  1284.848       2797.980       2912.642    
  1297.980       2797.980       2911.251    
  1311.111       2797.980       2911.373    
  1324.242       2797.980       2909.775    
  1337.374       2797.980       2909.111    
  1350.505       2797.980       2907.101    
  1363.636       2797.980       2906.293    
  1376.768       2797.980       2905.404    
  1389.899       2797.980       2904.162    
