|6.6.6
basalt_sat_allmorb_10302020_3.tab                                                                   
           2
T(K)    
   400.00000000000000     
   11.111111111111111     
         100
P(bar)  
   2000.0000000000000     
   787.87878787878788     
         100
           3
T(K)           P(bar)         H2O,wt%       
  1022.222       2787.879       0.000000    
  1033.333       2787.879       0.000000    
  1044.444       2787.879       0.000000    
  1055.556       2787.879       0.000000    
  1066.667       2787.879       0.000000    
  1077.778       2787.879       0.000000    
  1088.889       2787.879       0.000000    
  1100.000       2787.879       0.000000    
  1111.111       2787.879       0.000000    
  1122.222       2787.879       0.000000    
  1133.333       2787.879       0.000000    
  1144.444       2787.879       0.000000    
  1155.556       2787.879       0.000000    
  1166.667       2787.879       0.000000    
  1177.778       2787.879       0.000000    
  1188.889       2787.879       0.000000    
  1200.000       2787.879       0.000000    
  1211.111       2787.879       0.000000    
  1222.222       2787.879       0.000000    
  1233.333       2787.879       0.000000    
  1244.444       2787.879       0.000000    
  1255.556       2787.879       0.000000    
  1266.667       2787.879       0.000000    
  1277.778       2787.879       0.000000    
  1288.889       2787.879       0.000000    
  1300.000       2787.879       0.000000    
  1311.111       2787.879       0.000000    
  1322.222       2787.879       0.000000    
  1333.333       2787.879       0.000000    
  1344.444       2787.879       0.000000    
  1355.556       2787.879       0.000000    
  1366.667       2787.879       0.000000    
  1377.778       2787.879       0.000000    
  1388.889       2787.879       0.000000    
  1400.000       2787.879       0.000000    
  1411.111       2787.879       0.000000    
  1422.222       2787.879       0.000000    
  1433.333       2787.879       0.000000    
  1444.444       2787.879       0.000000    
  1455.556       2787.879       0.000000    
  1466.667       2787.879       0.000000    
  1477.778       2787.879       0.000000    
  1488.889       2787.879       0.000000    
  1500.000       2787.879       0.000000    
  400.0000       3575.758       5.114461    
  411.1111       3575.758       5.114638    
  422.2222       3575.758       5.112301    
  433.3333       3575.758       5.108196    
  444.4444       3575.758       5.108893    
  455.5556       3575.758       5.104777    
  466.6667       3575.758       5.068897    
  477.7778       3575.758       4.832583    
  488.8889       3575.758       4.614449    
  500.0000       3575.758       4.146411    
  511.1111       3575.758       3.919596    
  522.2222       3575.758       3.913449    
  533.3333       3575.758       3.895136    
  544.4444       3575.758       3.776034    
  555.5556       3575.758       3.558545    
  566.6667       3575.758       3.577791    
  577.7778       3575.758       3.462365    
  588.8889       3575.758       3.401916    
  600.0000       3575.758       3.398064    
  611.1111       3575.758       3.393609    
  622.2222       3575.758       3.389113    
  633.3333       3575.758       3.385190    
  644.4444       3575.758       3.379066    
  655.5556       3575.758       3.313279    
  666.6667       3575.758       3.266599    
  677.7778       3575.758       3.186296    
  688.8889       3575.758       3.115403    
  700.0000       3575.758       3.034275    
  711.1111       3575.758       2.958068    
  722.2222       3575.758       2.915465    
  733.3333       3575.758       2.814812    
  744.4444       3575.758       2.758684    
  755.5556       3575.758       2.649337    
  766.6667       3575.758       2.523009    
  777.7778       3575.758       2.441646    
  788.8889       3575.758       2.368708    
  800.0000       3575.758       2.281562    
  811.1111       3575.758       1.843144    
  822.2222       3575.758       1.680369    
  833.3333       3575.758       1.669480    
  844.4444       3575.758       1.422595    
  855.5556       3575.758       1.405867    
  866.6667       3575.758       1.358373    
  877.7778       3575.758       1.322150    
  888.8889       3575.758       1.301767    
  900.0000       3575.758       1.270653    
  911.1111       3575.758       1.229865    
  922.2222       3575.758      0.4916988    
  933.3333       3575.758      0.3415658    
  944.4444       3575.758      0.2485575    
  955.5556       3575.758      0.1646678    
  966.6667       3575.758      0.6231704E-01
  977.7778       3575.758       0.000000    
  988.8889       3575.758       0.000000    
  1000.000       3575.758       0.000000    
  1011.111       3575.758       0.000000    
  1022.222       3575.758       0.000000    
  1033.333       3575.758       0.000000    
  1044.444       3575.758       0.000000    
  1055.556       3575.758       0.000000    
  1066.667       3575.758       0.000000    
  1077.778       3575.758       0.000000    
  1088.889       3575.758       0.000000    
  1100.000       3575.758       0.000000    
  1111.111       3575.758       0.000000    
  1122.222       3575.758       0.000000    
  1133.333       3575.758       0.000000    
  1144.444       3575.758       0.000000    
  1155.556       3575.758       0.000000    
  1166.667       3575.758       0.000000    
  1177.778       3575.758       0.000000    
  1188.889       3575.758       0.000000    
  1200.000       3575.758       0.000000    
  1211.111       3575.758       0.000000    
  1222.222       3575.758       0.000000    
  1233.333       3575.758       0.000000    
  1244.444       3575.758       0.000000    
  1255.556       3575.758       0.000000    
  1266.667       3575.758       0.000000    
  1277.778       3575.758       0.000000    
  1288.889       3575.758       0.000000    
  1300.000       3575.758       0.000000    
  1311.111       3575.758       0.000000    
  1322.222       3575.758       0.000000    
  1333.333       3575.758       0.000000    
  1344.444       3575.758       0.000000    
  1355.556       3575.758       0.000000    
  1366.667       3575.758       0.000000    
  1377.778       3575.758       0.000000    
  1388.889       3575.758       0.000000    
  1400.000       3575.758       0.000000    
  1411.111       3575.758       0.000000    
  1422.222       3575.758       0.000000    
  1433.333       3575.758       0.000000    
  1444.444       3575.758       0.000000    
  1455.556       3575.758       0.000000    
  1466.667       3575.758       0.000000    
  1477.778       3575.758       0.000000    
  1488.889       3575.758       0.000000    
  1500.000       3575.758       0.000000    
  400.0000       4363.636       5.114964    
  411.1111       4363.636       5.115157    
  422.2222       4363.636       5.110625    
  433.3333       4363.636       5.108523    
  444.4444       4363.636       5.111079    
  455.5556       4363.636       5.107057    
  466.6667       4363.636       5.107006    
  477.7778       4363.636       5.100014    
  488.8889       4363.636       5.094848    
  500.0000       4363.636       5.033267    
  511.1111       4363.636       4.927136    
  522.2222       4363.636                NaN
  533.3333       4363.636       4.209602    
  544.4444       4363.636       3.750371    
  555.5556       4363.636       3.675872    
  566.6667       4363.636       3.637445    
  577.7778       4363.636       3.527423    
  588.8889       4363.636       3.399592    
  600.0000       4363.636       3.406942    
  611.1111       4363.636       3.389353    
  622.2222       4363.636       3.385420    
  633.3333       4363.636       3.383929    
  644.4444       4363.636       3.378209    
  655.5556       4363.636       3.371589    
  666.6667       4363.636       3.368182    
  677.7778       4363.636       3.290702    
  688.8889       4363.636       3.207024    
  700.0000       4363.636       3.110823    
  711.1111       4363.636       3.053945    
  722.2222       4363.636       2.968395    
  733.3333       4363.636       2.881818    
  744.4444       4363.636       2.832099    
  755.5556       4363.636       2.770319    
  766.6667       4363.636       2.711662    
  777.7778       4363.636       2.643971    
  788.8889       4363.636       2.475512    
  800.0000       4363.636       2.401123    
  811.1111       4363.636       2.334788    
  822.2222       4363.636       1.840258    
  833.3333       4363.636       1.814713    
  844.4444       4363.636       1.643702    
  855.5556       4363.636       1.394822    
  866.6667       4363.636       1.386392    
  877.7778       4363.636       1.358032    
  888.8889       4363.636       1.311993    
  900.0000       4363.636       1.285063    
  911.1111       4363.636       1.237987    
  922.2222       4363.636      0.6327264    
  933.3333       4363.636      0.3938517    
  944.4444       4363.636      0.2938633    
  955.5556       4363.636      0.2029952    
  966.6667       4363.636      0.1109688    
  977.7778       4363.636                NaN
  988.8889       4363.636       0.000000    
  1000.000       4363.636       0.000000    
  1011.111       4363.636       0.000000    
  1022.222       4363.636       0.000000    
  1033.333       4363.636       0.000000    
  1044.444       4363.636       0.000000    
  1055.556       4363.636       0.000000    
  1066.667       4363.636       0.000000    
  1077.778       4363.636       0.000000    
  1088.889       4363.636       0.000000    
  1100.000       4363.636       0.000000    
  1111.111       4363.636       0.000000    
  1122.222       4363.636       0.000000    
  1133.333       4363.636       0.000000    
  1144.444       4363.636       0.000000    
  1155.556       4363.636       0.000000    
  1166.667       4363.636       0.000000    
  1177.778       4363.636       0.000000    
  1188.889       4363.636       0.000000    
  1200.000       4363.636       0.000000    
  1211.111       4363.636       0.000000    
  1222.222       4363.636       0.000000    
  1233.333       4363.636       0.000000    
  1244.444       4363.636       0.000000    
  1255.556       4363.636       0.000000    
  1266.667       4363.636       0.000000    
  1277.778       4363.636       0.000000    
  1288.889       4363.636       0.000000    
  1300.000       4363.636       0.000000    
  1311.111       4363.636       0.000000    
  1322.222       4363.636       0.000000    
  1333.333       4363.636       0.000000    
  1344.444       4363.636       0.000000    
  1355.556       4363.636       0.000000    
  1366.667       4363.636       0.000000    
  1377.778       4363.636       0.000000    
  1388.889       4363.636       0.000000    
  1400.000       4363.636       0.000000    
  1411.111       4363.636       0.000000    
  1422.222       4363.636       0.000000    
  1433.333       4363.636       0.000000    
  1444.444       4363.636       0.000000    
  1455.556       4363.636       0.000000    
  1466.667       4363.636       0.000000    
  1477.778       4363.636       0.000000    
  1488.889       4363.636       0.000000    
  1500.000       4363.636       0.000000    
  400.0000       5151.515       5.115997    
  411.1111       5151.515       5.113762    
  422.2222       5151.515       5.114660    
  433.3333       5151.515       5.111319    
  444.4444       5151.515       5.111636    
  455.5556       5151.515       5.107015    
  466.6667       5151.515       5.103152    
  477.7778       5151.515       5.107128    
  488.8889       5151.515       5.100071    
